symbol,tierName,lastSale,revenue,authorizedShares,outstandingShares,restrictedShares,unrestrictedShares,publicFloat
AYTUW,Pink Current,0.244,"13,520",21562500,544012,,,
CBWTF,OTCQX International,0.289963,"10,069",,692277690,,,461717092
CRSXF,OTCQX International,0.288854,"23,318",,94759245,,,24515544
DOFSQ,Pink Current,0.2363,"138,257",,138054311,,,
GGGOF,OTCQB,0.204,"14,927",,254964760,371698,254593062,193355659
GPLA,Pink Limited,0.326,"25,146",5000000000,4049392879,4001544859,47848020,
JRNGF,OTCQX International,0.3,"12,808",,44001158,,,17497367
PSHIF,OTCQB,0.21428,"20,175",,188528453,3136756,185391697,115154958
SHRG,OTCQB,0.28,"19,450",500000000,159782769,119475803,40306966,23583495
TLCC,Pink Current,0.3,"18,371",5000000000,392864182,370356579,22507603,
UNQL,Pink Current,0.2548,"124,639",800000000,357829365,288135256,69694109,69694109
WFTUF,Pink Current,0.23,"807,000",,,,,
PXHI,Pink Current,0.37,"22,615",650000000,28408020,,,3873739
